Part,Title,Video,Audio,Briefing,Facts,Study Guide,Report,Quiz,Flashcards,Mindmap,Slides (P/D/F),Infographics (C/S/B),Missing Required,Launch Ready
36,"The Second Pledge of Aqabah",✓,✓,✓,✓,✓,✓,✓,✓,✓,10/15/8,CSB,none,YES
37,"The Quraysh Plot and the Decision to Migrate",✓,✓,✓,✓,✓,✓,✓,✓,✓,9/14/8,CSB,none,YES
38,"The Migration to Madinah",✓,✓,✓,✓,✓,✓,✓,✓,✓,10/14/11,CSB,none,YES
39,"The Foundation of the Madinan Community",✓,✓,✓,✓,✓,✓,✓,✓,✓,10/14/10,CSB,none,YES
40,"The Foundation of Islamic Society in Madinah",✓,✓,✓,✓,✓,✓,✓,✓,✓,10/15/13,CSB,none,YES
41,"The Charter and Ethical Foundations of Madinah",✓,✓,✓,✓,✓,✓,✓,✓,✓,9/15/13,CSB,none,YES
42,"The Pact of Madinah",✓,✓,✓,✓,✓,✓,✓,✓,✓,9/12/11,CSB,none,YES
43,"The Transition to Armed Defense",✓,✓,✓,✓,✓,✓,✓,✓,✓,10/13/15,CSB,none,YES
44,"Pre-Badr Military and Political Developments",✓,✓,✓,✓,✓,✓,✓,✓,✓,10/9/11,CSB,none,YES
45,"The Battle of Badr",✓,✓,✓,✓,✓,✓,✓,✓,✓,10/10/14,CSB,none,YES
46,"The Battle of Badr: A Redefinition of Loyalty",✓,✓,✓,✓,✓,✓,✓,✓,✓,9/15/13,CSB,none,YES
47,"The Aftermath of Badr",✓,✓,✓,✓,✓,✓,✓,✓,✓,10/15/15,CSB,none,YES
48,"The Strategic Environment After Badr",✓,✓,✓,✓,✓,✓,✓,✓,✓,9/14/9,CSB,none,YES
49,"The Political and Social Landscape After Badr",✓,✓,✓,✓,✓,✓,✓,✓,✓,9/11/7,CSB,none,YES
50,"Post-Badr Conflicts: Banu Qaynuqa and the Sawiq Expedition",✓,✓,✓,✓,✓,✓,✓,✓,✓,10/12/13,CSB,none,YES
51,"Early Community Actions in the Third Year AH",✓,✓,✓,✓,✓,✓,✓,✓,✓,10/15/13,CSB,none,YES
52,"Military Confrontations Preceding Uhud",✓,✓,✓,✓,✓,✓,✓,✓,✓,10/12/15,CSB,none,YES
53,"The Battle of Uhud: Mobilization and Strategy",✓,✓,✓,✓,✓,✓,✓,✓,✓,10/12/9,CSB,none,YES
54,"Preparations for the Battle of Uhud",✓,✓,✓,✓,✓,✓,✓,✓,✓,10/15/15,CSB,none,YES
55,"Force Dispositions at Uhud",✓,✓,✓,✓,✓,✓,✓,✓,✓,10/12/12,CSB,none,YES
56,"The Opening of the Battle of Uhud",✓,✓,✓,✓,✓,✓,✓,✓,✓,10/13/10,CSB,none,YES
57,"The Great Reversal at Uhud",✓,✓,✓,✓,✓,✓,✓,✓,✓,10/15/12,CSB,none,YES
58,"The Defense of the Prophet ﷺ at Uhud",✓,✓,✓,✓,✓,✓,✓,✓,✓,10/10/14,CSB,none,YES
59,"The Aftermath of the Battle of Uhud",✓,✓,✓,✓,✓,✓,✓,✓,✓,9/15/10,CSB,none,YES
60,"The Expedition of Hamra' al-Asad",✓,✓,✓,✓,✓,✓,✓,✓,✓,10/15/11,CSB,none,YES
61,"Post-Uhud Military Engagements",✓,✓,✓,✓,✓,✓,✓,✓,✓,8/11/14,CSB,none,YES
62,"Military and Diplomatic Developments in Years 4–5 AH",✓,✓,✓,✓,✓,✓,✓,✓,✓,10/15/13,CSB,none,YES
63,"The Battle of the Confederates",✓,✓,✓,✓,✓,✓,✓,✓,✓,10/15/14,CSB,none,YES
64,"The Expedition Against Banu Quraydhah",✓,✓,✓,✓,✓,✓,✓,✓,✓,10/15/14,CSB,none,YES
65,"The Ghazwah of Banu al-Mustaliq",✓,✓,✓,✓,✓,✗,✓,✓,✓,9/15/15,CSB,none,YES
66,"Strategic and Diplomatic Operations in 6 AH",✓,✓,✓,✓,✓,✓,✓,✓,✓,8/14/10,CSB,none,YES
67,"The Treaty of al-Hudaybiyah",✓,✓,✓,✓,✓,✓,✓,✓,✓,10/10/15,CSB,none,YES
68,"The Socio-Political Impact of Hudaybiyah",✓,✓,✓,✓,✓,✓,✓,✓,✓,14/15/9,CSB,none,YES
69,"Post-Hudaybiyah Strategy and Diplomatic Outreach",✓,✓,✓,✓,✓,✓,✓,✓,✓,9/12/11,CSB,none,YES
70,"Correspondence with Egypt: The Muqawqas",✓,✓,✓,✓,✓,✓,✓,✓,✓,13/15/6,CSB,none,YES
71,"Letters to Kisra and Yemen's Leadership",✓,✓,✓,✓,✓,✓,✓,✓,✓,9/15/11,CSB,none,YES
72,"The Prophetic Letter to Heraclius",✓,✓,✓,✓,✓,✓,✓,✓,✓,10/15/13,CSB,none,YES
73,"Correspondence with al-Bahrayn",✓,✓,✓,✓,✓,✓,✓,✓,✓,9/12/7,CSB,none,YES
74,"Correspondence with Yamamah",✓,✓,✓,✓,✓,✓,✓,✓,✓,8/12/10,CSB,none,YES
75,"The Letter to al-Harith al-Ghassani",✓,✓,✓,✓,✓,✓,✓,✓,✓,9/12/6,CSB,none,YES
76,"Prophetic Diplomacy: The Kings of Oman",✓,✓,✓,✓,✓,✓,✓,✓,✓,9/13/10,CSB,none,YES
77,"The Dhu Qarad Expedition",✓,✓,✓,✓,✓,✓,✓,✓,✓,10/15/13,CSB,none,YES
78,"The Conquest of Khaybar",✓,✓,✓,✓,✓,✓,✓,✓,✓,9/15/10,CSB,none,YES
79,"The Khaybar Campaign: Strategic Analysis",✓,✓,✓,✓,✓,✓,✓,✓,✓,10/14/14,CSB,none,YES
80,"Conquest of Khaybar: Aftermath and Legacy",✓,✓,✓,✓,✓,✓,✓,✓,✓,7/12/15,CSB,none,YES
81,"Post-Coalition Military Campaigns",✓,✓,✓,✓,✓,✓,✓,✓,✓,9/11/13,CSB,none,YES
82,"Northern Expeditions in the 8th Year AH",✓,✓,✓,✓,✓,✓,✓,✓,✓,10/15/14,CSB,none,YES
83,"The Road to the Conquest of Makkah",✓,✓,✓,✓,✓,✓,✓,✓,✓,15/15/14,CSB,none,YES
84,"The Conquest of Makkah",✓,✓,✓,✓,✓,✓,✓,✓,✓,24/15/15,CSB,none,YES
85,"The Battles of Hunayn and Ta'if",✓,✓,✓,✓,✓,✓,✓,✓,✓,10/16/15,CSB,none,YES
86,"The Distribution at al-Ji'ranah",✓,✓,✓,✓,✓,✓,✓,✓,✓,10/15/12,CSB,none,YES
87,"Post-Hunayn: The Hawazin Delegation",✓,✓,✓,✓,✓,✓,✓,✓,✓,10/13/12,CSB,none,YES
88,"Strategic Consolidation in the 9th Year AH",✓,✓,✓,✓,✓,✓,✓,✓,✓,10/15/12,CSB,none,YES
89,"The Tabuk Expedition: A Response to Byzantium",✓,✓,✓,✓,✓,✓,✓,✓,✓,9/15/12,CSB,none,YES
90,"The Tabuk Expedition: Jaysh al-Usrah",✓,✓,✓,✓,✓,✓,✓,✓,✓,9/15/13,CSB,none,YES
91,"The Tabuk Expedition: Consequences and Revelations",✓,✓,✓,✓,✓,✓,✓,✓,✓,9/15/15,CSB,none,YES
92,"The Proclamation of Bara'ah",✓,✓,✓,✓,✓,✓,✓,✓,✓,9/15/12,CSB,none,YES
93,"The Prophet's Military Campaigns: Leadership and Ethics",✓,✓,✓,✓,✓,✓,✓,✓,✓,10/15/11,CSB,none,YES
94,"The Mass Embrace of Islam",✓,✓,✓,✓,✓,✓,✓,✓,✓,9/11/9,CSB,none,YES
95,"The Year of Delegations",✓,✓,✓,✓,✓,✓,✓,✓,✓,10/13/13,CSB,none,YES
96,"The Impact and Legacy of the Islamic Call",✓,✓,✓,✓,✓,✓,✓,✓,✓,9/15/6,CSB,none,YES
97,"The Farewell Pilgrimage",✓,✓,✓,✓,✓,✓,✓,✓,✓,10/15/12,CSB,none,YES
98,"The Expedition of Usamah ibn Zayd",✓,✓,✓,✓,✓,✓,✓,✓,✓,9/13/8,CSB,none,YES
99,"The Final Days of the Prophet ﷺ",✓,✓,✓,✓,✓,✓,✓,✓,✓,9/15/14,CSB,none,YES
100,"The Household of the Prophet ﷺ",✓,✓,✓,✓,✓,✓,✓,✓,✓,15/15/12,CSB,none,YES
